shipment_id,origin_country,origin_city,destination_country,destination_city,actual_ship,actual_delivery,weight,weight_uq,volume,volume_uq,vessel,flight_voyage,actual_transit_days,all_modes_goal_transit_days,delay_diff_days,column1,ship_year,ship_month,ship_week,ship_dow,distance_km,leadtime_expected_days,average_distance_per_day,origin_temp_mean,origin_temp_max,origin_temp_min,origin_precip_mm,origin_rained,dest_temp_mean,dest_temp_max,dest_temp_min,dest_precip_mm,dest_rained
AF2442028182,ZA,JNB,ZW,HRE,2025-06-06,2025-06-10,2440.0,KG,0.0,M3,4 TONNER,ROAD,4,4,0,False,2025,6,23,Friday,1123,3,374.3333333333333,14.090909090909092,16.9,8.3,0.0,False,22.990909090909096,25.2,18.4,0.0,False
AF2442028184,ZA,JNB,ZW,HRE,2025-06-14,2025-06-18,710.0,KG,3.5,M3,4 TONNER,ROAD,4,4,0,False,2025,6,24,Saturday,1123,3,374.3333333333333,12.945454545454544,16.2,5.9,0.0,False,19.90909090909091,22.5,13.9,0.0,False
AF2442028185,ZA,JNB,ZW,HRE,2025-06-14,2025-06-18,430.0,KG,0.91,M3,4 TONNER,ROAD,4,4,0,False,2025,6,24,Saturday,1123,3,374.3333333333333,12.945454545454544,16.2,5.9,0.0,False,19.90909090909091,22.5,13.9,0.0,False
AF2442028186,ZA,JNB,ZM,KIW,2025-06-14,2025-06-20,3470.0,KG,16.39,M3,4 TONNER,ROAD,6,6,0,False,2025,6,24,Saturday,1930,5,386.0,12.945454545454544,16.2,5.9,0.0,False,23.781818181818178,27.3,15.8,0.0,False
AF2442028187,ZA,JNB,ZM,KIW,2025-06-14,2025-06-20,6954.0,KG,6.49,M3,4 TONNER,ROAD,6,6,0,False,2025,6,24,Saturday,1930,5,386.0,12.945454545454544,16.2,5.9,0.0,False,23.781818181818178,27.3,15.8,0.0,False
AF2442028190,ZA,JNB,TZ,DAR,2025-06-16,2025-06-26,222.0,KG,1.07,M3,4 TONNER,ROAD,10,10,0,False,2025,6,25,Monday,3533,8,441.625,12.445454545454544,15.2,7.0,0.0,False,25.981818181818177,28.2,23.3,1.6,True
AF2442028191,ZA,JNB,TZ,DAR,2025-06-16,2025-06-27,374.0,KG,0.27,M3,4 TONNER,ROAD,11,10,1,False,2025,6,25,Monday,3533,8,441.625,12.445454545454544,15.2,7.0,0.0,False,27.418181818181814,29.6,23.2,0.0,False
AF2442028192,ZA,JNB,TZ,DAR,2025-06-16,2025-06-26,1367.0,KG,1.88,M3,4 TONNER,ROAD,10,10,0,False,2025,6,25,Monday,3533,8,441.625,12.445454545454544,15.2,7.0,0.0,False,25.981818181818177,28.2,23.3,1.6,True
AF2442028194,ZA,JNB,CD,FBM,2025-06-20,2025-06-27,19172.0,KG,19.02,M3,20 TONNER,ROAD,7,7,0,False,2025,6,25,Friday,2115,6,352.5,15.672727272727274,17.9,10.2,0.0,False,24.89090909090909,28.0,15.9,0.0,False
AF2442028195,ZA,JNB,CD,FBM,2025-06-20,2025-06-27,5247.0,KG,18.28,M3,8 TONNER,ROAD,7,7,0,False,2025,6,25,Friday,2115,6,352.5,15.672727272727274,17.9,10.2,0.0,False,24.89090909090909,28.0,15.9,0.0,False
AF2442028201,ZA,JNB,ZM,KIW,2025-06-21,2025-06-27,942.0,KG,2.96,M3,1 TONNER,ROAD,6,6,0,False,2025,6,25,Saturday,1930,5,386.0,12.145454545454545,16.2,4.0,0.0,False,24.709090909090904,28.0,15.4,0.0,False
AF2442028202,ZA,JNB,ZM,KIW,2025-06-21,2025-06-27,735.0,KG,0.85,M3,1 TONNER,ROAD,6,6,0,False,2025,6,25,Saturday,1930,5,386.0,12.145454545454545,16.2,4.0,0.0,False,24.709090909090904,28.0,15.4,0.0,False
AF2442028204,ZA,JNB,ZM,KIW,2025-06-21,2025-06-27,2657.0,KG,8.88,M3,1 TONNER,ROAD,6,6,0,False,2025,6,25,Saturday,1930,5,386.0,12.145454545454545,16.2,4.0,0.0,False,24.709090909090904,28.0,15.4,0.0,False
AF2442028205,ZA,JNB,ZM,KIW,2025-06-21,2025-06-27,1251.0,KG,1.5,M3,1 TONNER,ROAD,6,6,0,False,2025,6,25,Saturday,1930,5,386.0,12.145454545454545,16.2,4.0,0.0,False,24.709090909090904,28.0,15.4,0.0,False
AF2442028208,ZA,JNB,CD,FBM,2025-06-21,2025-06-28,333.0,KG,5.18,M3,1 TONNER,ROAD,7,7,0,False,2025,6,25,Saturday,2115,6,352.5,12.145454545454545,16.2,4.0,0.0,False,24.018181818181816,26.9,16.3,0.0,False
AF2442028209,ZA,JNB,CD,FBM,2025-06-21,2025-06-29,5959.0,KG,20.07,M3,1 TONNER,ROAD,8,7,1,False,2025,6,25,Saturday,2115,6,352.5,12.145454545454545,16.2,4.0,0.0,False,22.21818181818182,25.1,15.6,0.0,False
AF2442028210,ZA,JNB,CD,FBM,2025-06-21,2025-06-28,1706.0,KG,2.77,M3,1 TONNER,ROAD,7,7,0,False,2025,6,25,Saturday,2115,6,352.5,12.145454545454545,16.2,4.0,0.0,False,24.018181818181816,26.9,16.3,0.0,False
AF2442028214,ZA,JNB,ZM,KIW,2025-06-22,2025-06-28,317.0,KG,1.14,M3,1 TONNER,ROAD,6,6,0,False,2025,6,25,Sunday,1930,5,386.0,11.354545454545454,14.1,5.4,0.0,False,24.08181818181818,27.1,16.1,0.0,False
AF2442028214,ZA,JNB,ZM,KIW,2025-07-04,2025-07-10,3168.0,KG,4.4,M3,8 TONNER,ROAD,6,6,0,False,2025,7,27,Friday,1930,5,386.0,7.790909090909091,10.8,3.1,0.0,False,20.009090909090908,23.8,12.4,0.0,False
AF2442028215,ZA,JNB,CD,FBM,2025-06-22,2025-06-29,5145.0,KG,5.84,M3,8 TONNER,ROAD,7,7,0,False,2025,6,25,Sunday,2115,6,352.5,11.354545454545454,14.1,5.4,0.0,False,22.21818181818182,25.1,15.6,0.0,False
