shipment_id,origin_country,origin_city,destination_country,destination_city,actual_ship,actual_delivery,weight,weight_uq,volume,volume_uq,vessel,flight_voyage,actual_transit_days,all_modes_goal_transit_days,delay_diff_days,distance_km,leadtime_expected_days,ship_year,ship_month,ship_week,ship_dow,average_distance_per_day,origin_temp_mean,origin_temp_max,origin_temp_min,origin_precip_mm,origin_rained,dest_temp_mean,dest_temp_max,dest_temp_min,dest_precip_mm,dest_rained
AF2442027188,ZA,JNB,ZM,KIW,2025-02-13,2025-02-20,2076.0,KG,15.89,M3,15 TONNER,ROAD,7,6,1,1930,5,2025,2,7,Thursday,386.0,19.37272727272727,21.4,16.6,4.1000000000000005,True,21.827272727272724,24.4,19.0,4.1,True
AF2442027189,ZA,JNB,ZM,KIW,2025-02-13,2025-02-19,1220.0,KG,1.59,M3,15 TONNER,ROAD,6,6,0,1930,5,2025,2,7,Thursday,386.0,19.37272727272727,21.4,16.6,4.1000000000000005,True,24.54545454545455,26.6,20.1,1.4,True
AF2442027195,ZA,JNB,CD,FBM,2025-02-13,2025-02-20,6410.0,KG,0.0,M3,15 TONNER,ROAD,7,7,0,2115,6,2025,2,7,Thursday,352.5,19.37272727272727,21.4,16.6,4.1000000000000005,True,23.309090909090912,27.0,19.3,2.7,True
AF2442027197,ZA,JNB,CD,FBM,2025-02-13,2025-02-20,500.0,KG,1.07,M3,15 TONNER,ROAD,7,7,0,2115,6,2025,2,7,Thursday,352.5,19.37272727272727,21.4,16.6,4.1000000000000005,True,23.309090909090912,27.0,19.3,2.7,True
AF2442027214,ZA,JNB,ZW,HRE,2025-02-15,2025-02-19,990.0,KG,1.49,M3,8 TONNER,ROAD,4,4,0,1123,3,2025,2,7,Saturday,374.3333333333333,19.87272727272727,21.8,17.5,1.7,True,22.745454545454542,25.3,20.0,5.6,True
AF2442027214,ZA,JNB,ZW,HRE,2025-02-15,2025-02-19,990.0,KG,1.49,M3,8 TONNER,ROAD,4,4,0,1123,3,2025,2,7,Saturday,374.3333333333333,19.87272727272727,21.8,17.5,1.7,True,22.745454545454542,25.3,20.0,5.6,True
AF2442027214,ZA,JNB,ZW,HRE,2025-02-15,2025-02-19,1517.0,KG,1.07,M3,8 TONNER,ROAD,4,4,0,1123,3,2025,2,7,Saturday,374.3333333333333,19.87272727272727,21.8,17.5,1.7,True,22.745454545454542,25.3,20.0,5.6,True
AF2442027214,ZA,JNB,ZW,HRE,2025-02-15,2025-02-19,1517.0,KG,1.07,M3,8 TONNER,ROAD,4,4,0,1123,3,2025,2,7,Saturday,374.3333333333333,19.87272727272727,21.8,17.5,1.7,True,22.745454545454542,25.3,20.0,5.6,True
AF2442027215,ZA,JNB,MZ,TET,2025-02-15,2025-02-20,1035.0,KG,5.02,M3,8 TONNER,ROAD,5,5,0,1501,4,2025,2,7,Saturday,375.25,19.87272727272727,21.8,17.5,1.7,True,28.91818181818182,30.7,25.2,0.4,True
AF2442027216,ZA,JNB,ZM,KIW,2025-02-14,2025-02-20,132.0,KG,0.35,M3,8 TONNER,ROAD,6,6,0,1930,5,2025,2,7,Friday,386.0,21.045454545454543,22.9,17.5,1.0,True,21.827272727272724,24.4,19.0,4.1,True
