iter	Passed	Remaining
282	722	809
283	725	807
284	727	804
285	729	800
286	730	797
287	732	793
288	734	790
289	736	786
290	738	784
291	740	780
292	741	776
293	742	772
294	744	769
295	746	766
296	747	763
297	751	761
298	752	757
299	756	756
300	759	754
301	762	752
302	765	750
303	767	747
304	772	747
305	775	745
306	779	744
307	781	740
308	782	737
309	786	735
310	790	734
311	792	731
312	794	728
313	796	725
314	799	723
315	801	720
316	803	716
317	804	713
318	811	714
319	813	711
320	815	709
321	820	707
322	823	706
323	827	704
324	830	702
325	833	700
326	835	697
327	837	694
328	841	692
329	844	690
330	846	687
331	847	684
332	849	681
333	851	678
334	852	674
335	855	672
336	857	669
337	860	666
338	861	663
339	863	660
340	864	656
341	866	653
342	867	650
343	869	647
344	872	644
345	876	643
346	878	640
347	880	637
348	881	634
349	884	631
350	885	628
351	888	626
352	892	624
353	894	621
354	896	618
355	899	616
356	901	613
357	902	610
358	906	608
359	908	605
360	909	602
361	912	600
362	915	597
363	917	595
364	920	592
365	922	589
366	923	586
367	925	583
368	927	580
369	931	578
370	934	577
371	938	575
372	946	575
373	950	574
374	953	572
375	955	569
376	957	566
377	960	564
378	962	561
379	966	559
380	969	557
381	973	555
382	975	552
383	978	550
384	982	548
385	983	545
386	986	542
387	988	539
388	990	537
389	994	535
390	997	533
391	1000	530
392	1002	527
393	1004	525
394	1007	522
395	1011	520
396	1012	517
397	1014	514
398	1018	512
399	1019	509
400	1021	506
401	1024	504
402	1026	501
403	1029	499
404	1032	496
405	1034	494
406	1039	492
407	1041	490
408	1046	488
409	1050	486
410	1053	484
411	1057	482
412	1058	479
413	1060	476
414	1062	473
415	1067	472
416	1069	469
417	1071	466
418	1072	463
419	1074	460
420	1076	457
421	1078	454
422	1082	452
423	1083	449
424	1086	447
425	1087	444
426	1091	442
427	1094	439
428	1098	437
429	1100	435
430	1103	432
431	1104	429
432	1106	426
433	1108	423
434	1110	421
435	1113	418
436	1116	416
437	1118	413
438	1119	410
439	1122	408
440	1124	405
441	1126	402
442	1128	400
443	1131	397
444	1132	394
445	1134	391
446	1136	389
447	1138	386
448	1140	383
449	1143	381
450	1145	378
451	1147	375
452	1149	372
453	1151	370
454	1153	367
455	1155	364
456	1158	362
457	1160	359
458	1163	357
459	1165	354
460	1167	352
461	1171	349
462	1173	347
463	1175	344
464	1177	341
465	1178	339
466	1180	336
467	1183	333
468	1185	331
469	1186	328
470	1188	325
471	1191	323
472	1193	320
473	1196	318
474	1199	315
475	1203	313
476	1206	311
477	1208	308
478	1210	305
479	1212	303
480	1213	300
481	1217	298
482	1220	295
483	1223	293
484	1225	290
485	1227	288
486	1230	285
487	1232	282
488	1237	280
489	1248	280
490	1253	278
491	1258	276
492	1261	273
493	1265	271
494	1269	269
495	1273	266
496	1278	265
497	1286	263
498	1290	261
499	1293	258
500	1297	256
501	1301	253
502	1303	251
503	1307	249
504	1309	246
505	1313	244
506	1316	241
507	1318	238
508	1321	236
509	1324	233
510	1326	230
511	1329	228
512	1333	226
513	1336	223
514	1345	222
515	1347	219
516	1349	216
517	1352	214
518	1355	211
519	1357	208
520	1360	206
521	1363	203
522	1365	201
523	1368	198
524	1369	195
525	1371	192
526	1375	190
527	1377	187
528	1379	185
529	1381	182
530	1382	179
531	1384	176
532	1387	174
533	1389	171
534	1391	169
535	1393	166
536	1395	163
537	1397	161
538	1399	158
539	1402	155
540	1404	153
541	1406	150
542	1408	147
543	1410	145
544	1413	142
545	1415	140
546	1419	137
547	1421	134
548	1424	132
549	1426	129
550	1429	127
551	1432	124
552	1434	121
553	1436	119
554	1438	116
555	1441	114
556	1443	111
557	1444	108
558	1446	106
559	1448	103
560	1449	100
561	1453	98
562	1456	95
563	1458	93
564	1460	90
565	1464	87
566	1465	85
567	1469	82
568	1471	80
569	1473	77
570	1475	74
571	1480	72
572	1482	69
573	1484	67
574	1487	64
575	1489	62
576	1495	59
577	1497	57
578	1500	54
579	1504	51
580	1507	49
581	1511	46
582	1513	44
583	1516	41
584	1519	38
585	1521	36
586	1523	33
587	1526	31
588	1530	28
589	1536	26
590	1537	23
591	1539	20
592	1542	18
593	1544	15
594	1546	12
595	1548	10
596	1558	7
597	1562	5
598	1563	2
599	1565	0
